Name,Price,Rating
Shop on eBay,$20.00,No rating
Shop on eBay,$20.00,No rating
John V. Guttag Introduction to Computation and Programming Using Pyt (Paperback),$108.70,No rating
"Art of Computer Programming, the, Volumes 1-4B, Boxed Set by Donald Knuth",$248.00,No rating
FAST SHIP Computer Systems: A Programmer's Perspective 3E By Randal E. Bryant,$37.63,3.0 out of 5 stars.
⬆️ AWS Certified Developer Associate (DVA-C02) Practice Tests Exams,$5.99,No rating
⬆️ AWS Certified Cloud Practitioner (CLF-C02) Practice Tests Exams,$5.99,No rating
"The C Programming Language by Kernighan, Brian W.",$16.97,5.0 out of 5 stars.
"C Programming Language, 2nd - Paperback, by Brian W. Kernighan; - Acceptable",$16.74,5.0 out of 5 stars.
"C Programming Language, 2nd Edition",$16.42,5.0 out of 5 stars.
⬆️ AWS Certified Machine Learning Specialty (MLS-C01) Practice Tests Exams,$5.99,No rating
⬆️ AWS Certified Developer Associate (DVA-C02) Practice Tests Exams No Answers,$2.99,No rating
OccupyTheWeb Linux Basics for Hackers (Paperback),$37.79,5.0 out of 5 stars.
Intro to Python for Computer Science and Data Science by Deitel Paperback,$31.07,No rating
Andrew Davison Killer Game Programming in Java (Paperback) (US IMPORT),$69.91,No rating
Practical Programming: An Introduction to Computer Science Using Python,$6.14,5.0 out of 5 stars.
Introduction to Computer Programming with Visual Basic 6 [With CD-ROM],$6.79,5.0 out of 5 stars.
Jalaj Thanaki Python Natural Language Processing (Digital) (UK IMPORT),$79.90,No rating
⬆️ ITIL 4 Foundation (IT Service Management) Practice Tests Exams,$5.99,No rating
⬆️ Microsoft Azure AZ-500 (Azure Security Engineer) Practice Tests Exams,$5.99,No rating
Cracking the Coding Interview: 189 Programming Questions and Solutions [Cracking,$10.34,4.5 out of 5 stars.
⬆️ Microsoft Azure AZ-900 (Microsoft Azure Fundamentals) Practice Test No Answer,$2.99,No rating
⬆️ Microsoft Azure AZ-900 (Microsoft Azure Fundamentals) Practice Tests Exams,$7.99,No rating
"New ListingGo Programming Blueprints - Second Edition by Mat Ryer (2016, Trade Paperback)",$8.00,No rating
⬆️ AWS Certified Machine Learning Specialty (MLS-C01) Practice Tests No Answers,$2.99,No rating
Analog Computing (Paperback or Softback),$74.64,No rating
New Python Programming Practice Cards for GCSE Computer Science with Python 2024,$13.65,No rating
Pragmatic Programmer & paperback,$25.99,5.0 out of 5 stars.
⬆️ Scrum Master I for PSM I Practice Tests Exams No Answers,$2.99,No rating
"Computer Programming (Made Simple Books), Maynard, Jeff",$9.36,No rating
Tarek Ziadé Michał Jaworski Expert Python Programming (Paperback),$78.56,No rating
